Month,Price
2017 Sep 1,2.98
2017 Oct 1,2.88
2017 Nov 1,3.01
2017 Dec 1,2.82
2018 Jan 1,3.87
2018 Feb 1,2.67
2018 Mar 1,2.69
2018 Apr 1,2.80
2018 May 1,2.80
2018 Jun 1,2.97
2018 Jul 1,2.83
2018 Aug 1,2.96
2018 Sep 1,3.00
2018 Oct 1,3.28
2018 Nov 1,4.09
2018 Dec 1,4.04
2019 Jan 1,3.11
2019 Feb 1,2.69
2019 Mar 1,2.95
2019 Apr 1,2.65
2019 May 1,2.64
2019 Jun 1,2.40
2019 Jul 1,2.37
2019 Aug 1,2.22
2019 Sep 1,2.56
2019 Oct 1,2.33
2019 Nov 1,2.65
2019 Dec 1,2.22
2020 Jan 1,2.02
2020 Feb 1,
2020 Mar 1,
2020 Apr 1,
2020 May 1,
2020 Jun 1,
2020 Jul 1,
2020 Aug 1,
2020 Sep 1,
2020 Oct 1,
2020 Nov 1,
2020 Dec 1,
