Week Ending,Price
2017 Nov 17,3.10
2017 Nov 24,3.05
2017 Dec 01,2.94
2017 Dec 08,2.84
2017 Dec 15,2.77
2017 Dec 22,2.69
2017 Dec 29,3.03
2018 Jan 05,5.71
2018 Jan 12,3.24
2018 Jan 19,4.12
2018 Jan 26,3.43
2018 Feb 02,3.30
2018 Feb 09,2.75
2018 Feb 16,2.54
2018 Feb 23,2.62
2018 Mar 02,2.64
2018 Mar 09,2.74
2018 Mar 16,2.71
2018 Mar 23,2.66
2018 Mar 30,2.67
2018 Apr 06,2.79
2018 Apr 13,2.78
2018 Apr 20,2.83
2018 Apr 27,2.80
2018 May 04,2.75
2018 May 11,2.76
2018 May 18,2.80
2018 May 25,2.83
2018 Jun 01,2.88
2018 Jun 08,2.92
2018 Jun 15,2.99
2018 Jun 22,2.99
2018 Jun 29,2.98
2018 Jul 06,2.91
2018 Jul 13,2.89
2018 Jul 20,2.78
2018 Jul 27,2.79
2018 Aug 03,2.80
2018 Aug 10,2.96
2018 Aug 17,3.00
2018 Aug 24,3.01
2018 Aug 31,2.97
2018 Sep 07,2.94
2018 Sep 14,2.93
2018 Sep 21,3.03
2018 Sep 28,3.06
2018 Oct 05,3.23
2018 Oct 12,3.30
2018 Oct 19,3.26
2018 Oct 26,3.32
2018 Nov 02,3.28
2018 Nov 09,3.58
2018 Nov 16,4.23
2018 Nov 23,4.67
2018 Nov 30,4.43
2018 Dec 07,4.49
2018 Dec 14,4.38
2018 Dec 21,3.73
2018 Dec 28,3.26
2019 Jan 04,2.92
2019 Jan 11,2.89
2019 Jan 18,3.50
2019 Jan 25,3.19
2019 Feb 01,2.90
2019 Feb 08,2.59
2019 Feb 15,2.65
2019 Feb 22,2.71
2019 Mar 01,2.91
2019 Mar 08,3.28
2019 Mar 15,2.89
2019 Mar 22,2.86
2019 Mar 29,2.71
2019 Apr 05,2.70
2019 Apr 12,2.72
2019 Apr 19,2.62
2019 Apr 26,2.56
2019 May 03,2.59
2019 May 10,2.60
2019 May 17,2.67
2019 May 24,2.66
2019 May 31,2.66
2019 Jun 07,2.45
2019 Jun 14,2.41
2019 Jun 21,2.40
2019 Jun 28,2.34
2019 Jul 05,2.31
2019 Jul 12,2.47
2019 Jul 19,2.44
2019 Jul 26,2.30
2019 Aug 02,2.24
2019 Aug 09,2.11
2019 Aug 16,2.21
2019 Aug 23,2.27
2019 Aug 30,2.28
2019 Sep 06,2.46
2019 Sep 13,2.64
2019 Sep 20,2.63
2019 Sep 27,2.52
2019 Oct 04,2.33
2019 Oct 11,2.26
2019 Oct 18,2.25
2019 Oct 25,2.25
2019 Nov 01,2.62
2019 Nov 08,2.82
2019 Nov 15,2.73
2019 Nov 22,2.58
2019 Nov 29,2.49
2019 Dec 06,2.38
2019 Dec 13,2.24
2019 Dec 20,2.28
2019 Dec 27,2.05
2020 Jan 03,2.07
2020 Jan 10,2.10
2020 Jan 17,2.06
2020 Jan 24,1.93
2020 Jan 31,1.95
2020 Feb 07,1.89
2020 Feb 14,1.90
2020 Feb 21,2.00
2020 Feb 28,1.88
2020 Mar 06,1.80
2020 Mar 13,1.87
