Week Ending,Price
2001 Oct 12,2.21
2001 Oct 19,2.42
2001 Oct 26,2.86
2001 Nov 02,3.06
2001 Nov 09,2.72
2001 Nov 16,2.16
2001 Nov 23,2.18
2001 Nov 30,2.00
2001 Dec 07,1.98
2001 Dec 14,2.45
2001 Dec 21,2.40
2001 Dec 28,2.40
2002 Jan 04,2.53
2002 Jan 11,2.38
2002 Jan 18,2.34
2002 Jan 25,2.18
2002 Feb 01,2.18
2002 Feb 08,2.22
2002 Feb 15,2.28
2002 Feb 22,2.38
2002 Mar 01,2.47
2002 Mar 08,2.67
2002 Mar 15,2.92
2002 Mar 22,3.31
2002 Mar 29,3.40
2002 Apr 05,3.54
2002 Apr 12,3.21
2002 Apr 19,3.40
2002 Apr 26,3.50
2002 May 03,3.65
2002 May 10,3.65
2002 May 17,3.57
2002 May 24,3.35
2002 May 31,3.24
2002 Jun 07,3.24
2002 Jun 14,3.11
2002 Jun 21,3.26
2002 Jun 28,3.43
2002 Jul 05,3.18
2002 Jul 12,2.96
2002 Jul 19,2.90
2002 Jul 26,2.97
2002 Aug 02,3.01
2002 Aug 09,2.78
2002 Aug 16,2.99
2002 Aug 23,3.28
2002 Aug 30,3.33
2002 Sep 06,3.21
2002 Sep 13,3.30
2002 Sep 20,3.71
2002 Sep 27,3.80
2002 Oct 04,4.17
2002 Oct 11,3.85
2002 Oct 18,4.14
2002 Oct 25,4.22
2002 Nov 01,4.23
2002 Nov 08,3.88
2002 Nov 15,3.86
2002 Nov 22,4.25
2002 Nov 29,4.25
2002 Dec 06,4.31
2002 Dec 13,4.64
2002 Dec 20,5.12
2002 Dec 27,4.96
2003 Jan 03,4.85
2003 Jan 10,5.03
2003 Jan 17,5.37
2003 Jan 24,5.91
2003 Jan 31,5.68
2003 Feb 07,6.11
2003 Feb 14,6.08
2003 Feb 21,6.33
2003 Feb 28,12.03
2003 Mar 07,7.80
2003 Mar 14,5.94
2003 Mar 21,5.18
2003 Mar 28,4.99
2003 Apr 04,4.91
2003 Apr 11,5.15
2003 Apr 18,5.50
2003 Apr 25,5.51
2003 May 02,5.25
2003 May 09,5.57
2003 May 16,6.05
2003 May 23,6.02
2003 May 30,5.83
2003 Jun 06,6.26
2003 Jun 13,5.94
2003 Jun 20,5.57
2003 Jun 27,5.61
2003 Jul 04,5.14
2003 Jul 11,5.36
2003 Jul 18,5.06
2003 Jul 25,4.91
2003 Aug 01,4.68
2003 Aug 08,4.83
2003 Aug 15,5.05
2003 Aug 22,5.07
2003 Aug 29,5.05
2003 Sep 05,4.69
2003 Sep 12,4.76
2003 Sep 19,4.56
2003 Sep 26,4.49
2003 Oct 03,4.49
2003 Oct 10,4.72
2003 Oct 17,4.84
2003 Oct 24,4.70
2003 Oct 31,4.38
2003 Nov 07,4.36
2003 Nov 14,4.59
2003 Nov 21,4.36
2003 Nov 28,4.64
2003 Dec 05,5.58
2003 Dec 12,6.51
2003 Dec 19,6.73
2003 Dec 26,5.80
2004 Jan 02,5.73
2004 Jan 09,6.65
2004 Jan 16,5.95
2004 Jan 23,6.07
2004 Jan 30,5.88
2004 Feb 06,5.57
2004 Feb 13,5.45
2004 Feb 20,5.31
2004 Feb 27,5.14
2004 Mar 05,5.27
2004 Mar 12,5.39
2004 Mar 19,5.58
2004 Mar 26,5.31
2004 Apr 02,5.56
2004 Apr 09,5.78
2004 Apr 16,5.76
2004 Apr 23,5.53
2004 Apr 30,5.76
2004 May 07,6.10
2004 May 14,6.33
2004 May 21,6.33
2004 May 28,6.57
2004 Jun 04,6.39
2004 Jun 11,6.08
2004 Jun 18,6.39
2004 Jun 25,6.34
2004 Jul 02,6.00
2004 Jul 09,6.13
2004 Jul 16,5.88
2004 Jul 23,5.86
2004 Jul 30,5.91
2004 Aug 06,5.66
2004 Aug 13,5.55
2004 Aug 20,5.34
2004 Aug 27,5.23
2004 Sep 03,4.84
2004 Sep 10,4.56
2004 Sep 17,5.04
2004 Sep 24,5.44
